Package                                   Version               Build                         Size       Kind   Source
tiktoken                                  0.9.0                 py313h9a4dfeb_0               808.2 KiB  conda  https://conda.anaconda.org/conda-forge/
tk                                        8.6.13                h892fb3f_2                    3 MiB      conda  https://conda.anaconda.org/conda-forge/
tokenizers                                0.21.2                py313h9a4dfeb_0               2 MiB      conda  https://conda.anaconda.org/conda-forge/
tomli                                     2.2.1                 pyhd8ed1ab_1                  18.7 KiB   conda  https://conda.anaconda.org/conda-forge/
tqdm                                      4.67.1                pyhd8ed1ab_1                  87.4 KiB   conda  https://conda.anaconda.org/conda-forge/
transformers                              4.53.0                pyhd8ed1ab_0                  3.7 MiB    conda  https://conda.anaconda.org/conda-forge/
typer                                     0.16.0                pyh167b9f4_0                  75.4 KiB   conda  https://conda.anaconda.org/conda-forge/
typer-slim                                0.16.0                pyhe01879c_0                  45.7 KiB   conda  https://conda.anaconda.org/conda-forge/
typer-slim-standard                       0.16.0                hf964461_0                    5.1 KiB    conda  https://conda.anaconda.org/conda-forge/
typing-extensions                         4.14.0                h32cad80_0                    88.2 KiB   conda  https://conda.anaconda.org/conda-forge/
typing-inspection                         0.4.1                 pyhd8ed1ab_0                  18.4 KiB   conda  https://conda.anaconda.org/conda-forge/
typing_extensions                         4.14.0                pyhe01879c_0                  49.8 KiB   conda  https://conda.anaconda.org/conda-forge/
tzdata                                    2025b                 h78e105d_0                    120.1 KiB  conda  https://conda.anaconda.org/conda-forge/
urllib3                                   2.5.0                 pyhd8ed1ab_0                  99.4 KiB   conda  https://conda.anaconda.org/conda-forge/
uvicorn                                   0.35.0                pyh31011fe_0                  49.1 KiB   conda  https://conda.anaconda.org/conda-forge/
uvicorn-standard                          0.35.0                h31011fe_0                    7.5 KiB    conda  https://conda.anaconda.org/conda-forge/
uvloop                                    0.21.0                py313h63a2874_1               530.9 KiB  conda  https://conda.anaconda.org/conda-forge/
